id,question_id,value,index,presentation_colour,presentation_percentage
2231,284,"it sounds right either way",3,2,19
2232,284,other,4,3,3
2233,285,"INsurance (stress on the first syllable)",1,1,12
2234,285,"inSURance (stress on the second syllable)",2,0,75
2235,285,"I can stress either the first or the second syllable",3,2,11
2236,285,other,4,,0
2237,286,"NEW Haven",1,0,44
2238,286,"New HAVEN",2,1,42
2239,286,"I use both interchangeably",3,2,10
2240,286,other,4,3,2
2241,287,THANKSgiving,1,1,28
2242,287,ThanksGIVing,2,0,63
2243,287,"I use both interchangeably",3,2,7
2244,287,other,4,,0
2245,288,UMbrella,1,1,21
2246,288,umBRELLa,2,0,78
2247,289,dragged,1,0,73
2248,289,drug,2,1,19
2249,289,"I use both interchangeably",3,2,6
2250,289,other,4,,0
2251,290,"you all",1,3,12
2252,290,"yous, youse",2,,0
2253,290,"you lot",3,,0
2254,290,"you guys",4,0,41
2255,290,"you 'uns",5,,0
2256,290,yins,6,,0
2257,290,you,7,1,23
2258,290,other,8,4,3
2259,290,"y'all",9,2,17
2260,291,yes,1,1,30
2261,291,no,2,0,67
2262,291,other,3,2,2
2263,292,yes,1,1,33
2264,292,no,2,0,38
2265,292,"I can use ""where are you at"" in contexts such as asking someone how s/he is coming along on a project, but not in the general sense of ""where are you physically located in the world at this moment"".",3,2,28
2266,293,"yes (please consider adding which combinations of modals you use in the comments box)",1,1,11
2267,293,no,2,0,87
2268,293,other,3,,0
2269,294,"this use of ""anymore"" is acceptable",1,1,6
2270,294,"this use of ""anymore"" is unacceptable",2,0,91
2271,294,"not sure",3,2,2
2272,295,acceptable,1,1,7
2273,295,unacceptable,2,0,88
2274,295,"not sure",3,2,4
2275,296,acceptable,1,1,35
2276,296,unacceptable,2,0,60
2277,296,"not sure",3,2,3
2278,297,acceptable,1,1,23
2279,297,unacceptable,2,0,68
2280,297,"not sure",3,2,7
2281,298,"tag sale",1,4,2
2282,298,"yard sale",2,1,35
2283,298,"garage sale",3,0,53
2284,298,"rummage sale",4,2,4
2285,298,"thrift sale",5,,0
2286,298,"stoop sale",6,,0
2287,298,"carport sale",7,,0
2288,298,"sidewalk sale",8,,0
2289,298,"jumble (sale)",9,,0
2290,298,"car boot sale",10,,0
2291,298,"car boot",11,,0
2292,298,"patio sale",12,,0
2293,298,other,13,3,3
2294,299,mumblety-peg,1,4,6
2295,299,mumbledy-peg,2,3,8
2296,299,"mumbly peg",3,1,11
2297,299,"mumbly pegs",4,,0
2298,299,"mumblely peg (with 2 l's)",5,,2
2299,299,"mumble peg",6,,0
2300,299,mummety-peg,7,,0
2301,299,mumble-the-peg,8,,0
2302,299,"fumbledy peg",9,,0
2303,299,"numblety peg",10,,0
2304,299,peggy,11,,0
2305,299,"baseball jackknife",12,,0
2306,299,stick-knife,13,,1
2307,299,stick-frog,14,,0
2308,299,stretch,15,,1
2309,299,chicken,16,5,3
2310,299,knifey,17,,0
2311,299,splits,18,,0
2312,299,"Russian roulette",19,6,2
2313,299,"I have never heard of this ""game"" and have no idea what it's called",20,0,51
2314,299,"other (state here if you have heard one or more of these terms but never knew what they meant)",21,2,9
2315,300,berm,1,3,4
2316,300,parking,2,4,2
2317,300,"tree lawn",3,5,2
2318,300,terrace,4,,0
2319,300,"curb strip",5,2,9
2320,300,beltway,6,,0
2321,300,verge,7,6,2
2322,300,"I have no word for this",8,0,64
2323,300,other,9,1,13
2324,301,boulevard,1,3,10
2325,301,midway,2,5,1
2326,301,"traffic island",3,4,7
2327,301,island,4,0,43
2328,301,"neutral ground",5,,0
2329,301,"I have no word for this",6,2,17
2330,301,other,7,1,20
2331,302,"median strip",1,1,12
2332,302,median,2,0,80
2333,302,boulevard,3,,0
2334,302,mall,4,,0
2335,302,"traffic island",5,,0
2336,302,"neutral ground",6,,0
2337,302,island,7,3,1
2338,302,"park strip",8,,0
2339,302,"I have no word for this",9,2,2
2340,302,other,10,4,1
2341,303,milkshake/shake,1,0,96
2342,303,frappe,2,1,1
2343,303,cabinet,3,,0
2344,303,velvet,4,,0
2345,303,"thick shake",5,,0
2346,303,other,6,,0
2347,304,sub,1,0,78
2348,304,grinder,2,4,2
2349,304,hoagie,3,1,6
2350,304,hero,4,2,4
2351,304,"poor boy",5,5,2
2352,304,bomber,6,,0
2353,304,"Italian sandwich",7,,0
2354,304,baguette,8,,0
2355,304,sarney,9,,0
2356,304,"I have no word for this",10,6,1
2357,304,other,11,3,3
2358,305,"lightning bug",1,1,34
2359,305,firefly,2,2,26
2360,305,"I use lightning bug and firefly interchangeably",3,0,38
2361,305,"peenie wallie",4,,0
2362,305,"I have no word for this",5,,0
2363,305,other,6,,0
2364,306,crawfish,1,0,39
2365,306,crayfish,2,1,27
2366,306,craw,3,,0
2367,306,crowfish,4,,0
2368,306,crawdad,5,2,23
2369,306,mudbug,6,,0
2370,306,"I have no word for this critter",7,3,4
2371,306,other,8,4,4
2372,307,"daddy long leg(s)",1,0,93
2373,307,"daddy big legs",2,2,1
2374,307,"daddy (bug)",3,,0
2375,307,"father longlegs",4,,0
2376,307,granddaddy,5,,0
2377,307,"daddy graybeard",6,,0
2378,307,"daddy spider",7,,0
2379,307,harvestman,8,,0
2380,307,"moskeet spider",9,,0
2381,307,pointer,10,,0
2382,307,"shepherd spider",11,,0
2383,307,other,12,1,4
2384,308,grandmother,1,3,5
2385,308,granny,2,4,3
2386,308,grandma,3,0,50
2387,308,nana,4,2,5
2388,308,mimi,5,,0
2389,308,grammy/grammie/grammi,6,5,2
2390,308,other,7,1,31
2391,309,grandmother,1,3,6
2392,309,granny,2,5,3
2393,309,grandma,3,0,47
2394,309,gramma,4,2,14
2395,309,nana,5,4,3
2396,309,other,6,1,23
2397,310,gramps,1,5,1
2398,310,grandpa,2,2,22
2399,310,grampa,3,3,14
2400,310,"grandad, granddad",4,4,5
2401,310,pap,5,,0
2402,310,"I spell it ""grandpa"" but pronounce it as ""grampa""",6,1,26
2403,310,"other (including if you use a different term to address him directly than you do when speaking about him to a third party)",7,0,30
2404,311,gramps,1,,0
2405,311,grandpa,2,1,33
2406,311,grampa,3,2,29
2407,311,pap,4,,0
2408,311,other,5,0,35
2409,312,"dust bunnies",1,0,71
2410,312,"dust kittens",2,,0
2411,312,"dust mice",3,,0
2412,312,kitties,4,,0
2413,312,"dust balls",5,1,21
2414,312,other,6,2,4
2415,313,sneakers,1,1,38
2416,313,shoes,2,4,2
2417,313,gymshoes,3,2,5
2418,313,"sand shoes",4,,0
2419,313,jumpers,5,,0
2420,313,"tennis shoes",6,0,48
2421,313,"running shoes",7,5,1
2422,313,runners,8,,0
2423,313,trainers,9,,0
2424,313,"I have no general word for this",10,,0
2425,313,other,11,3,3
2426,314,"pill bug",1,1,14
2427,314,"doodle bug",2,5,5
2428,314,"potato bug",3,2,12
2429,314,"roly poly",4,0,34
2430,314,"sow bug",5,6,4
2431,314,"basketball bug",6,,0
2432,314,"twiddle bug",7,,0
2433,314,"roll-up bug",8,,0
2434,314,"wood louse",9,,0
2435,314,millipede,10,,1
2436,314,centipede,11,,3
2437,314,"I know what this creature is, but have no word for it",12,4,8
2438,314,"I have no idea what this creature is",13,3,11
2439,314,other,14,,3
2440,315,"shopping cart",1,0,73
2441,315,"shopping wagon",2,,0
2442,315,"grocery cart",3,1,16
2443,315,"shopping carriage",4,,0
2444,315,carriage,5,,0
2445,315,buggy,6,2,4
2446,315,"supermarket trolley",7,,0
2447,315,other,8,3,3
2448,316,kitty-corner,1,0,47
2449,316,kitacorner,2,,0
2450,316,catercorner,3,5,1
2451,316,catty-corner,4,1,33
2452,316,"kitty cross",5,,0
2453,316,"kitty wampus",6,,0
2454,316,"I can only use ""diagonal"" for this",7,2,11
2455,316,"I have no term for this",8,3,3
2456,316,other,9,4,2
2457,317,"doing donuts",1,0,81
2458,317,"doing cookies",2,2,1
2459,317,"whipping shitties",3,3,1
2460,317,other,4,1,14
2461,318,"scratch paper",1,1,32
2462,318,"scrap paper",2,2,28
2463,318,"scratch paper is still usable (for example, the paper you bring to do extra work on a test); scrap paper is paper that isn't needed anymore and can be thrown away.",3,0,36
2464,318,other,4,3,2
2465,319,highway,1,0,58
2466,319,freeway,2,2,12
2467,319,parkway,3,,0
2468,319,turnpike,4,,0
2469,319,expressway,5,5,4
2470,319,throughway/thru-way,6,,0
2471,319,"a freeway is bigger than a highway",7,3,5
2472,319,"a freeway is free (i.e., doesn't charge tolls); a highway isn't",8,,0
2473,319,"a freeway has limited access (no stop lights, no intersections), whereas a highway can have stop lights and intersections",9,1,13
2474,319,other,10,4,4
2475,320,sunshower,1,1,30
2476,320,"the wolf is giving birth",2,,0
2477,320,"the devil is beating his wife",3,2,6
2478,320,"monkey's wedding",4,,0
2479,320,"fox's wedding",5,,0
2480,320,"pineapple rain",6,,0
2481,320,"liquid sun",7,4,1
2482,320,"I have no term or expression for this",8,0,58
2483,320,other,9,3,3
2484,321,"goose bumps",1,0,89
2485,321,"goose flesh",2,,0
2486,321,"goose pimples",3,1,6
2487,321,"chill bumps",4,2,1
2488,321,"chill bugs",5,,0
2489,321,"chilly bumps",6,,0
2490,321,"cold-chill bumps",7,,0
2491,321,other,8,,0
2492,322,crackling,1,,0
2493,322,sleep,2,0,40
2494,322,sleeper,3,,4
2495,322,sleepy,4,,1
2496,322,sleepies,5,6,5
2497,322,"sleepy seed",6,,1
2498,322,"sleepy bugs",7,,0
2499,322,"eye booger",8,1,9
2500,322,"eye shit",9,,0
2501,322,"eye crunchie",10,,0
2502,322,"eye crusties",11,,3
2503,322,sand,12,4,7
2504,322,kitty,13,,0
2505,322,gunk,14,5,6
2506,322,matter,15,,2
2507,322,"I have no word for this",16,3,7
2508,322,other,17,2,8
2509,323,gut,1,2,10
2510,323,"crypt course",2,,0
2511,323,"crip course",3,3,4
2512,323,bird,4,4,1
2513,323,blow-off,5,1,38
2514,323,meat,6,,0
2515,323,other,7,0,43
2516,324,rotary,1,3,10
2517,324,roundabout,2,1,27
2518,324,circle,3,4,9
2519,324,"traffic circle",4,0,35
2520,324,"traffic circus",5,,0
2521,324,"I have no word for this",6,2,14
2522,324,other,7,5,2
2523,325,"(hair) elastic",1,4,10
2524,325,"rubber band",2,0,34
2525,325,horsetail,3,,0
2526,325,"hair thing",4,3,13
2527,325,"hair tie",5,1,20
2528,325,other,6,2,20
2529,326,yes,1,2,28
2530,326,"no, but I know what it means",2,0,40
2531,326,"I have no idea what this means",3,1,30
2532,327,yes,1,0,58
2533,327,"no, but I know what it means",2,1,32
2534,327,"I have no idea what this means",3,2,9
2535,328,duck-footed,1,1,28
2536,328,slue-footed,2,5,3
2537,328,splay-footed,3,3,4
2538,328,bow-legged,4,2,26
2539,328,"toed out",5,4,3
2540,328,other,6,6,2
2541,328,"I have no word for this",7,0,30
2542,329,yes,1,0,43
2543,329,"yes, but I can also use it in other forms such as apple slaw or broccoli slaw",2,2,9
2544,329,no,3,1,42
2545,329,"I have never heard that usage before",4,3,4
2546,329,other,5,,0
2547,330,coffin,1,0,61
2548,330,casket,2,1,19
2549,330,"a coffin and a casket are not the same, and I know the difference",3,2,12
2550,330,other,4,3,6
2551,331,"vinegar and oil",1,2,12
2552,331,"oil and vinegar",2,0,73
2553,331,"both sound equally good to me",3,1,12
2554,331,neither,4,3,1
2555,331,other,5,,0
2556,332,"Chinese lane change",1,2,4
2557,332,"Chinese fire drill",2,1,9
2558,332,other,3,0,85
2559,333,"on line",1,2,3
2560,333,"in line",2,0,91
2561,333,"both sound equally good",3,1,3
2562,333,neither,4,,0
2563,333,other,5,,0
2564,334,frosting,1,0,33
2565,334,icing,2,2,18
2566,334,"icing is thinner than frosting, white, and/or made of powdered sugar and milk or lemon juice",3,3,18
2567,334,both,4,1,27
2568,334,neither,5,,0
2569,334,other,6,,0
2570,335,"New York City",1,0,44
2571,335,Boston,2,3,2
2572,335,DC,3,4,1
2573,335,LA,4,5,1
2574,335,Chicago,5,2,6
2575,335,other,6,1,43
2576,336,"supper is an evening meal while dinner is eaten earlier (lunch, for example)",1,3,9
2577,336,"supper is an evening meal, dinner is the main meal",2,4,7
2578,336,"dinner takes place in a more formal setting than supper",3,2,13
2579,336,"there is no distinction; they both have the same meaning",4,0,33
2580,336,"I do not use the term supper",5,1,31
2581,336,"I don't use the term dinner",6,,0
2582,336,other,7,5,4
2583,337,"trash can",1,0,37
2584,337,"garbage can",2,2,28
2585,337,"rubbish bin",3,,0
2586,337,"waste(paper) basket",4,4,1
2587,337,"These words refer to different things",5,1,30
2588,337,other,6,3,2
2589,338,"By accident",1,0,73
2590,338,"On accident",2,2,10
2591,338,both,3,1,12
2592,338,neither,4,3,2
2593,338,other,5,4,1
2594,339,"frontage road",1,0,31
2595,339,"service road",2,1,26
2596,339,"access road",3,2,18
2597,339,"feeder road",4,6,3
2598,339,gateway,5,,0
2599,339,"we have them but I have no word for them",6,3,11
2600,339,"I've never heard of this concept",7,4,4
2601,339,other,8,5,3
2602,340,"cut the grass",1,1,20
2603,340,"cut the lawn",2,,0
2604,340,"mow the grass",3,3,7
2605,340,"mow the lawn",4,0,63
2606,340,other,5,2,8
2607,341,"pass in",1,3,3
2608,341,"hand in",2,0,74
2609,341,both,3,1,13
2610,341,neither,4,,0
2611,341,other,5,2,7
2612,342,waterbug,1,0,45
2613,342,"Jesus bug",2,,0
2614,342,waterstrider,3,2,11
2615,342,strider,4,,0
2616,342,water-spider,5,3,8
2617,342,watercrawler,6,,0
2618,342,"water beetle",7,6,2
2619,342,backstrider,8,,0
2620,342,skimmer,9,4,4
2621,342,"I have no word for this",10,1,22
2622,342,other,11,5,3
2623,343,bubbler,1,2,3
2624,343,"water bubbler",2,,0
2625,343,"drinking fountain",3,1,33
2626,343,"water fountain",4,0,60
2627,343,other,5,3,1
2628,344,"the subway",1,0,81
2629,344,"the L, or the El",2,3,3
2630,344,"the T",3,4,2
2631,344,"the metro",4,2,4
2632,344,BART,5,5,1
2633,344,other,6,1,6
2634,345,soda,1,0,47
2635,345,pop,2,1,28
2636,345,coke,3,2,14
2637,345,tonic,4,,0
2638,345,"soft drink",5,3,5
2639,345,lemonade,6,,0
2640,345,cocola,7,,0
2641,345,"fizzy drink",8,,0
2642,345,dope,9,,0
2643,345,other,10,4,2
2644,346,"tp'ing",1,0,59
2645,346,rolling,2,3,5
2646,346,"toilet papering",3,1,19
2647,346,wrapping,4,4,3
2648,346,papering,5,5,3
2649,346,"bog rolling",6,,0
2650,346,"I have no word for this",7,2,6
2651,346,other,8,,0
2652,347,rubberneck,1,5,2
2653,347,rubbernecking,2,1,16
2654,347,"rubbernecking is the activity (slowing down and gawking) that causes the traffic jam, but I have no word for the traffic jam itself",3,0,55
2655,347,"gapers' block",4,3,3
2656,347,"gapers' delay",5,,1
2657,347,"Lookie Lou",6,6,1
2658,347,"curiosity delay",7,,0
2659,347,"gawk block",8,,0
2660,347,"I have no word for this",9,2,12
2661,347,other,10,4,3
2662,348,"[Ã¦] as in ""sat""",1,0,87
2663,348,"[É›] as in ""set""",2,,0
2664,348,"[e:] as in ""say""",3,1,9
2665,348,other,4,2,2
2666,349,bag,1,0,85
2667,349,sack,2,1,12
2668,349,poke,3,,0
2669,349,other,4,2,2
2670,350,"gate night",1,,0
2671,350,"trick night",2,,0
2672,350,"mischief night",3,1,9
2673,350,"cabbage night",4,4,1
2674,350,"goosy night",5,,0
2675,350,"devil's night",6,2,8
2676,350,"devil's eve",7,5,1
2677,350,"I have no word for this",8,0,74
2678,350,other,9,3,4
2679,351,end,1,1,15
2680,351,heel,2,0,61
2681,351,crust,3,2,14
2682,351,nose,4,,0
2683,351,butt,5,3,3
2684,351,shpitzel,6,,0
2685,351,"I have no word for this",7,5,1
2686,351,other,8,4,2
2687,352,barbituate,1,0,78
2688,352,barbiturate,2,1,10
2689,352,"I don't use either of these",3,2,9
2690,352,other,4,3,1
2691,353,f,1,1,40
2692,353,p,2,0,57
2693,353,other,3,2,1
2694,354,[s],1,1,31
2695,354,[z],2,0,67
2696,354,other,3,2,1
2697,355,"a moot point",1,0,85
2698,355,"a mute point",2,2,4
2699,355,"either one of the above",3,3,1
2700,355,"I have no idea",4,1,6
2701,355,other,5,,0
2702,356,"[sp] (as in ""desperate"")",1,0,77
2703,356,"[zb] (rhymes with ""lesbian"")",2,1,21
2704,356,other,3,2,1
2705,357,basement,1,0,62
2706,357,cellar,2,4,1
2707,357,"I use both, and they mean the same thing",3,2,10
2708,357,"A basement is finished (for example with plastered or painted walls, carpets, etc.), whereas a cellar is unfinished (made up of bare stone or cement, used only for storage).",4,1,14
2709,357,"A cellar has an outside entrance (some call this a ""bulkhead""), whereas a basement does not",5,3,8
2710,357,other,6,5,1
2711,358,"brew thru",1,3,3
2712,358,"party barn",2,,0
2713,358,bootlegger,3,,0
2714,358,"beer barn",4,4,2
2715,358,"beverage barn",5,,0
2716,358,"we have these in my area, but we have no special term for them",6,1,31
2717,358,"I have never heard of such a thing",7,0,47
2718,358,other,8,2,11
2719,359,take-out,1,0,65
2720,359,carry-out,2,2,7
2721,359,"either take-out or carry-out",3,1,24
2722,359,other,4,3,2
2723,360,dibs,1,1,22
2724,360,shotgun,2,0,67
2725,360,hosey,3,,0
2726,360,"high hosey",4,,0
2727,360,"I have no term for this",5,2,7
2728,360,other,6,3,2
2729,361,ogle,1,0,40
2730,361,oogle,2,2,17
2731,361,"oggle (pronounced to rhyme with ""boggle"", but may still be spelled ""ogle"")",3,1,23
2732,361,"I use both oogle and ogle interchangeably",4,5,3
2733,361,"I use both ogle and ""oggle""",5,4,3
2734,361,"I have no word for this activity",6,3,8
2735,361,other,7,6,3
2736,362,"expecially (or ""ecspecially"" or ""ekspecially"")",1,1,2
2737,362,especially,2,0,94
2738,362,"I use both interchangeably",3,2,1
2739,362,neither,4,,0
2740,362,other,5,,0
2741,363,"mud dauber",1,,
2742,363,"dirt dauber",2,,
2743,363,"mud wasp",3,,
2744,363,"dirt digger",4,,
2745,363,"dirt dobber",5,,
2746,363,"dirt diver",6,,
2747,363,"mason wasp",7,,
2748,363,"potter wasp",8,,
2749,363,"digger wasp",9,,
2750,363,"I have no term for this",10,,
2751,106,"garbage man",6,0,50
2752,106,"trash man",7,1,15
2753,114,"time out",55,1,32
2754,0,Other,0,,
